Name;#Errors;Score;Remarks
aa0001ng;0;100;
aann001;0;100;
aheng002;0;100;
alfred1;8;27;
andikirm001;0;100;
andy0017;0;100;
angb0017;0;100;
angj0033;0;100;
asetiadi001;0;100;
ashkwong;11;0;
aslctan;11;0;
aslcwong;11;0;
aslttoh;11;0;
aspctan;11;0;
aszul;11;0;
avnish1;0;100;
ayephyup001;0;100;
bcheong001;8;27;
behc0002;0;100;
bgani001;0;100;
bhargav1;11;0;
bkok001;0;100;
blew001;0;100;
blim013;8;27;
btanmizi1;11;0;
bwee002;0;100;
byuen001;0;100;
c110023;0;100;
c110028;11;0;
c110038;11;0;
c110044;0;100;
c110052;11;0;
c120037;11;0;
c120038;11;0;
c120052;0;100;
c120065;0;100;
c120094;0;100;
c120096;0;100;
c120097;0;100;
c120100;0;100;
c120102;11;0;
c120103;0;100;
c120108;0;100;
c120109;8;27;
c120111;0;100;
c120119;0;100;
c120120;11;0;
c120121;1;90;
c120123;0;100;
c120125;11;0;
c120130;0;100;
c120135;0;100;
c120136;0;100;
c120138;0;100;
c120139;0;100;
c120141;0;100;
c120142;0;100;
c120143;0;100;
c120145;0;100;
cail0011;0;100;
cchiam001;0;100;
cchong006;0;100;
chee0099;0;100;
chen0783;0;100;
chen0818;0;100;
chew0280;0;100;
chia0315;11;0;
chia0316;0;100;
chin0190;0;100;
chng0102;0;100;
chye0008;11;0;
cklee5;11;0;
clem0007;0;100;
clem0009;0;100;
cneo003;0;100;
cphuah002;1;90;
ctan028;11;0;
ctgn1;0;100;
czgoh1;0;100;
daph0006;0;100;
dchai001;11;0;
ding0066;0;100;
dinhphuc001;0;100;
dxu004;0;100;
dzhang005;0;100;
eloh002;0;100;
esng002;7;36;
etan009;8;27;
fooc0029;0;100;
fuji0007;0;100;
furo0001;11;0;
ga0001he;11;0;
gohy0064;11;0;
gu0002un;0;100;
harpreet2;0;100;
heng0136;0;100;
her001;11;0;
her001;11;0;
hneo1;0;100;
hng002;9;18;
hteo005;0;100;
huan0250;0;100;
hyho2;0;100;
inchong1;11;0;
janani003;11;0;
jchen015;0;100;
jchng001;0;100;
jfoo005;0;100;
jhoe002;0;100;
jhquek4;0;100;
jhtam1;0;100;
jhuang017;11;0;
jivesh1;11;0;
jjxu1;11;0;
jkok002;0;100;
jlee022;0;100;
jlim033;0;100;
jlin012;0;100;
jlkwek1;11;0;
jmlim2;0;100;
jong023;0;100;
jsoon004;0;100;
jtan049;0;100;
jtang5;0;100;
jxiao5;0;100;
jyeo007;0;100;
jyyleong;11;0;
kakay1;0;100;
kaub0001;11;0;
kchieng001;0;100;
khteo3;0;100;
klam002;8;27;
klow001;0;100;
kmchua2;1;90;
ko0008an;11;0;
koks0005;0;100;
kong0081;11;0;
laiw0015;0;100;
laiw0018;0;100;
lamy0022;8;27;
leng004;0;100;
lich0028;0;100;
liew0127;0;100;
limy0209;8;27;
liny0061;0;100;
liul0029;0;100;
liux0047;11;0;
lizh0035;0;100;
lizi0005;0;100;
lkleung1;0;100;
llim8;0;100;
llin4;11;0;
lowy0054;0;100;
ltan007;11;0;
lume0003;0;100;
lyang004;0;100;
lyang005;0;100;
lytsoi1;0;100;
manisha2;0;100;
maoy0007;11;0;
medi0001;11;0;
minhtue001;0;100;
mlee006;0;100;
mohamadr001;0;100;
muhamad7;11;0;
mwong006;0;100;
mwong008;0;100;
mzhuo001;0;100;
nam4;11;0;
nchua002;0;100;
ng0003ry;0;100;
ngsu0009;0;100;
ngye0017;0;100;
nhu1;0;100;
niex0002;0;100;
ning0009;5;54;
nurf0022;11;0;
nzhang004;11;0;
parth001;0;100;
pbteo1;0;100;
phan0043;0;100;
phuang003;0;100;
phumon001;1;90;
pleong001;0;100;
pris0006;0;100;
qi0002li;0;100;
qlai001;11;0;
qli11;8;27;
qtao001;11;0;
quek0157;0;100;
quek0158;0;100;
raghavi001;11;0;
rinsha1;11;0;
rlui001;0;100;
rna001;0;100;
rohit008;0;100;
rong004;0;100;
rteo3;11;0;
sathiyak001;0;100;
schern001;0;100;
sduan001;0;100;
seah0148;0;100;
seanglid1;1;90;
sesoh1;0;100;
shaf0003;0;100;
shek0004;11;0;
sher0017;11;0;
shubham003;0;100;
shwesoe001;0;100;
si0001an;0;100;
sims0031;0;100;
simz0006;0;100;
sktan4;0;100;
slee021;0;100;
slu001;0;100;
slwong5;0;100;
son004;0;100;
soph0009;8;27;
sriporna1;0;100;
ssusanti3;0;100;
stoh003;0;100;
suanhai;11;0;
suman003;11;0;
suryadi1;0;100;
susheel001;11;0;
syang7;0;100;
sywong5;0;100;
tand0018;11;0;
tanp0097;11;0;
tanw0195;0;100;
tanx0080;0;100;
teey0007;0;100;
teol0025;0;100;
tham0118;0;100;
tien3;0;100;
tquek001;0;100;
tuananh001;0;100;
tuong1;0;100;
txho1;11;0;
tyquek1;11;0;
umme0001;11;0;
van008;0;100;
vidur1;11;0;
vietanh001;0;100;
vqtoh1;0;100;
waiyan001;0;100;
wang0713;0;100;
wang0781;0;100;
wang0798;0;100;
wang0815;0;100;
wchee001;11;0;
weet0008;0;100;
wflim1;0;100;
wgoh002;11;0;
wkwok001;0;100;
wlek001;0;100;
wong0809;1;90;
wong0828;0;100;
wqchua1;11;0;
wsoo001;0;100;
wuyi0006;0;100;
wxu002;11;0;
wyang006;0;100;
xcai3;0;100;
xchu001;0;100;
xfchen1;0;100;
xhong2;0;100;
xiao0062;0;100;
xllam001;0;100;
xlng001;0;100;
xlok001;11;0;
xmcheoh1;0;100;
xsu005;0;100;
xtheng001;0;100;
xu0003he;11;0;
xu0012ng;0;100;
xuyi0012;0;100;
xzhang009;0;100;
xzhao006;8;27;
yang0318;0;100;
ycheng009;0;100;
yeqi0002;0;100;
ygoh003;0;100;
ygoh008;0;100;
yhuang012;0;100;
yjlim2;11;0;
ylee012;0;100;
ylow003;11;0;
yong019;0;100;
ytay2;0;100;
ytteo3;0;100;
yuem0003;0;100;
yuen0018;0;100;
ywang034;0;100;
ywyap1;0;100;
yxia004;0;100;
zang002;8;27;
zeng0065;5;54;
zfong001;0;100;
zgzeng1;0;100;
zhao0153;0;100;
zhao0162;8;27;
zpoh001;0;100;
zsong1;8;27;
ztan008;0;90;Late Submission
ztay004;0;100;
zteow001;11;0;
zyng2;0;100;
zzeng001;0;100;
zzhang011;0;100;
zzheng002;0;100;
